Item Code,Item Name
248,KIWI FRUIT
249,LITCHI LOCAL
250,LITCHI THAIWAN / CHAINA
251,STRAWBERRY BOX
252,TENDER COCONUT
253,Nectro Plus Honey 250 gm
254,CORRIANDER LEAVES NATI
255,TOMRIND SEEDLEES
256,THINDA
257,DATES AREBIAN
258,PISTA 100 gram
259,TENDER COCONUT SMALL
260,TENDER COCONUT PACKED
261,FRUITJUICE THAILAND
262,GROUND NUT OIL NET RICE500M
263,GROUND NUT OIL 1LTR
264,GROUND NUT PREMIUM 1LTR
265,GROUND NUT RICE BRON 1LTR
266,GROUND NUT OIL RICE 1LTR
267,SAFAL DEEP 1L OIL
268,GROUND NET GOLDEN G NUT1L
269,GROUND NUT SUN GOLD 1LTR
270,RICE BRON 15LTS
271,NISARGA PICKLES 500GMS
272,LIME PICKLE
273,Nisarga Pickles 300 gm
274,MIXED VEGETABLES PICKLE
275,TAMRIND PASTE 150GM
276,RICE BRON OIL 5LTR
277,SUN SAFAL 500ML
278,GROUND NUT OIL 5LTR
279,SAFAL DEEP 500ML
280,TAMRIND PEAST 400GM
281,SUN SAFAL 1 TIN 15LTS
282,SUN GOLD 5LTS
283,Tharaguni kai
284,APPLE NEWZEALAND
285,COCONUT OIL 500ML
286,SWAGATH JAM 1KG
287,JAM 500GM
288,PEPAR 200GM
289,PEPAR 100GM
290,PROCEED FAND 290
291,CHOCOLATES DRINK -1
292,CARRY BAG
293,COPRA
298,Gulkan 1 KG
299,CARREY BAG BIG
300,Gulkan 500 GMS
301,BRAZIL RED LETIES
302,CUCUMBER WHITE
303,BANANA LEAVES
304,SWEET CORN SEED BOIL
305,BALE HOOVU
306,LETTEUS
307,ONION FLOWER
308,BERRY CHINA
309,SUGAR BANANA
310,CORN MIZE PACK
311,BYALADHA HANNU
312,Apple premium
313,Onion white
314,Chikadikai Round
315,APPLE KINNOR
316,SOUTH AFRICA GALA APPLE
317,Selari
318,Leeks
319,Parsle
320,Litchi Punjab
321,On Juice Pine Apple 1Lts
322,Pineapple Juice
323,On Juice Cherry Berry 1Lts
324,Iran Dates
325,Orange Juice
326,Chikkadikai Cleaned
327,Grapes Tash ganesh
328,Rose berry
329,Washington Gala Apple
330,Green chillies small cleaned
331,MANGO Alfhans Box
332,Swagath 879 ml
333,Sweet melon Laknow
334,Netrich 5 Lts
335,Newzealand royal gala apple
336,KADAPA WATER MELON
337,KADAPA WATER MELON
338,PANNEER WHITE
339,NISARGA PICKLES 200GMS
340,PICKELS 200 GM
341,PICKLES 500 Gram
342,NISARGA PICKLES 5KG
343,PICKLES 1KG
344,Paper Boat 250ML
345,On Juice Orange 1Lts
346,Bnatrual Pomegranate 200ML
347,PAPER BOAT POMEGRANATE
348,MANGO NATI
349,MANGAO ROMANIYA
350,MANGO ROMANIA Raw
351,Romaton
352,Thothapuri Red
353,Egg Fruit
354,Tendor Coconut(Bottle
355,Neelam Periculam
356,Dates Fruit
357,Naspathi berry
358,Orange Kino
359,South Africa chakotha
360,Fashion Fruit
361,BABYCORN CLEANED BOX
362,MANGO LANGADA
363,Mosambi Medium
364,APPLE ITALY VARIETY
365,Misery Apple
366,Onion
367,Tomato Nati
368,ONION BIG
369,Chaina Delicious
370,APPLE ITALY
371,Grapes sonaka super Box
372,Green Apple
373,Chakadikai Round
374,CHAINA VARIETY APPLE
375,POTATO AGHERA
376,Yellenne
377,DRY ANJURA 100 gram
378,Premium 1Ltr
379,Orange Polo
380,DATES(Bunch)
381,NATI CORIONDER
382,Peas Local
383,Orange Economey
384,On Juice PomeGrante 1Lts
385,SWAGATH JAM 500 GMS
386,JALJEERA JUICE
387,Sun Lucknow Melon
388,Chikkadikai Belt
389,Mango Jelly Taiwan 100ML
390,Tamrind
391,Mango Badami
392,THOTHAPURI
393,Perimum 5 Litre
394,Mango Malagova (M)
395,Amatikai
396,Jammu narale fruit
397,Perimum 5Litre
398,Cherry fruits
399,Nisarga Honey 1KG
400,Nisarga Honey 500GM
401,Nisarga Honey 200GM
402,Nisarga Honey 100GM
403,Kashmir Nakh Berry
404,saft berry U.S.A
405,Kashmir Kabul Varitey
406,Kashmir Gulkan 1KG
407,Kashmir Gulkan 500GMS
408,Gulkan 250 GMS
409,TAMRIND PASTE 227GMS
410,BIJI CHILLI UGIN
411,KF 1litre
412,Mixed Juice
413,On Juice Guava 1Lts
414,American Misery Apple
415,PERIMIUM 15LTRS
416,BANANA(Buda)
417,Chaina Red Delicious
418,Uttama bamul
419,Tin Juice
420,THOGARIKAI SEEDS
421,CHAKADIKAI ROUND CLEANED
422,CHAINA VARIETY
423,Shankaranthi mix 250GMS
424,Shankaranthi Sweets 100GMS
425,Shankaranthi Mix 500 mg
426,Thailand juice 100ML
427,Jack small
428,N Juice J
429,N Juice
430,Raw Jack Cleaned
431,Amla Nakshratra
432,SOMBAR ONION 100 GRAM BOX
433,CHAKKOTA
434,Nil
435,Jack fruit packet
436,Sun Sweet melon
437,BEANS RING
438,AMLA STAR
439,APPLE SIMLA ECONOMY POCKET
440,APPLE NEWZILAND
441,ORANGE MALT
442,DRY GRAPES
443,CASHEW NUT
444,KING FISHER 1 LTR
445,BISLERI 2LTR
446,BISLERI 1LTR
447,BISLERI 5LTR
448,BISLERI 500ML
449,HONEY NECTOFRESH 1KG
450,HONEY NECTOFRESH 0.5KG
451,HONEY NECTOFRESH 100 GM
452,HONEY NECTOFRESH 200GM
453,HONEY KARNATAKA EPIARIES 250 GM
454,HONEY KARNATAKA EPIARIES 500 GM
455,HONEY KARNATAKA EPIARIES 1 KG
456,PICKLE LIME 200 GM
457,PICKLE LIME 500 GM
458,PICKLE APTEMADI 1 KG
459,NECTOR FRESH HONEY 1 KG
460,NECTOR FRESH HONEY 500 GM
461,NECTOR FRESH HONEY 250 GM
462,NECTOR FRESH HONEY 100 GM
463,NECTOR FRESH HONEY 50 GM
464,NECTOR FRESH FOREST HONEY 500 GM
465,NECTOR FRESH FOREST HONEY 200 GM
466,WET DATES PACKET
467,SHAVIGE
468,PASTE( GARLIC/ GINGER)
469,NERALE JUICE
470,ON JUICE 200 ML
471,JALJEERA JUICE 250 ML
472,JALJEERA JUICE 1 LTR
473,BNATURAL 200 ML
474,BNATURAL 200 ML BRAHMI
475,PREMIUM 1 LTR
476,GROUNDNUT OIL 15LTR
477,UTTAM PALM OIL 15 LTR
478,TENDER COCONUT 200 ML
479,SUNGOLD 2 LTR
480,COCONUT OIL 1 LTR
481,COCONUT OIL 100 GM
482,COCONUT OIL 1 kg
483,MULTI MILLI NUTRI FLOOUR
484,POSHTIK ROTI MIX
485,WHEAT NUTRI FLOUR
486,Amul cool cafe
487,RICE RICH
488,Amul can
489,Amul true
490,LITTLE MILLET (NAVANE)
491,FOXTAIL MILLET( SAJJE)
492,HURULI KALU
493,NAVANE HITTU 0.5 KG
494,RICE ARKA 0.5
495,SAAME RICE 0.5 KG
496,BARAGU RICE 0.5 KG
497,NAVANE RICE 0.5 KG
498,HOODHALU 0.5 KG
499,SAAME 1 Kg
500,SAJJE 1 Kg
501,HUDHALU 1 KG
502,MILLET MORNING HAMBLI 0.5 KG
503,NAVANE HITTU 1 KG
504,INST. RAVA IDLI MIX 500 GM
505,INST PLAIN UPMA MIX 170 GM
506,INST GULAB JAMUN MIX 200 GM
507,INST VERMICELLI PAYASAM MIX 180 GM
508,INST BADAM DRINK MIX 12 GM
509,INST BADAM DRINK MIX 100 GM
510,INST BADAM DRINK 200 GM
511,RASAGOLLA 120 GM
512,GULAB JAMUN PORTION PACK 100 GM
513,RASMALAI PORTION PACK 100 GM
514,BASUNDI PORTION PACK 100 GM
515,Butter fruits (S)l
516,SPICY POWDERS
517,PILIOGARE POWDER 35 GM
518,PILIOGARE POWDER 100 GM
519,PILIOGARE POWDER 200 GM
520,VANGI BATH 20 GM
521,VANGI BATH 100 GM
522,VANGI BATH 200 GM
523,CHUTNEY POWDER 100G
524,CHUTNEY POWDER 200G
525,SAMBAR POWDER 20G
526,SAMBAR POWDER 100G
527,SAMBAR POWDER 200G
528,BISIBELE MASALA 20G
529,BISIBELE MASALA 100G
530,VERMICELLI 400G
531,PICKLES POUCH
532,MANGO PICKLE SLICED POUCH
533,LIME PICKLE SLICED POUCH
534,MIXEDVEGETABLES PICKLE SLICED POUCH
535,MTR SNACKS UP
536,HOPCOMS WATER 0.5 LTR
537,HOPCOMS WATER 1 LTR
538,HOPCOMS WATER 2 LTR
539,GEMSIP 200 ML
540,Banana pseudostem juice 300 ml
541,POUSHTIK ROTI MIX 0.5 KG
542,HOODALU
543,PARSIMAN
544,MANGO STIN
545,MORNING HAMBLI
546,TROPICANA JUICE
547,COCOJAL
548,LASSI
549,BADAMI MILK
550,BUTTER MILK
551,Amul kadai bottle
552,Aura chikki bar
553,Aura Chikki Bar
554,Chokkottha soppu
555,Painapal (Shirasi)
556,CUSTORD APPLE RAM
557,APPLE TURKI (Puji)
558,HALASINA KAI
559,SWEET JEERA
560,ORANGE GRADE II
561,POME GRANTE BHAGVA SMALL
562,Bread fruit/JACK FRUIT RAW
563,MIXED CUT VEGITABLE BOX
564,WET PEA BOX
565,YELLU BELLA MIX 1 kg
566,WET KASURI
567,SWEETJIRIGE
568,YELANEERU BIG
571,Bore fruits big
572,TOMATO MEDIUM
573,ROW MANGO SAKKAREGUTTI
574,SENDURA RAW MANGO
575,APPLE FRANCE
576,APPLE POLAND
577,GRAPES WASHIGHTON RED GLOB
578,GRAPES INDIAN BLACK RED GLOB
579,GRAPES SONAKA SUPER
580,GRAPES KRISHNA SHARAD SUPER
581,SWEET MELON SUN
582,ROW MANGO BYGANAPALLI
583,ROW MANGO KALAPADU
584,ROW MANGO DASARI
585,LUSON GREENS
586,COCONUT OIL
587,ICE BURG
588,ROW MANGO RASAPURI
589,ROW MANGO MALLIKA
590,ROW MANGO BADAMI
591,ROW MANGO MALAGOVA
592,ROW MANGO NATI
593,JUMBO NERALE
594,JACK FRUITS BOX
595,APPLE BELGIUM
596,MOSAMBI NEW
597,TAMILNADU BANANA
598,POTATO (LOCAL)
599,LECCHI
600,APPLE ROSE
601,APPLE CHILLI
602,KASHMIR CHERRY
603,MANGO PERIKULAM
604,GAJ LIME
605,GOLDEN APPLE
606,DATES
607,Peeches
608,CORN (Local)
609,Gold winner 1 Lt
610,Gold winner 5 Lt
611,Hajrath palli apple
612,kobbari hannu
613,MANGO DASARI
614,Bitrot Oty
615,Nurti Life 1 No 200gram
616,GRPES TS
617,APPLE RED GOLD
618,Newtry live Juice 200 grm
619,Aarka
620,Saame
621,Baragu
622,Udlu
623,Navane
624,Raagi hittu
625,Sajje
626,Morning amlee
627,Poustik rotti
628,Navane uppittu
629,Maize Neutririch
630,Multi milit
631,Raagi multi green
632,Navane hittu
633,Jolada hittu
634,Sajje hittu
635,Health drinks 100g
636,Dose & Edli hittu 200 g
637,Dose & Edli hittu 400 g
638,Finger milit dose 400 g
639,Finger milit edli 400 g
640,milit box 900 g
641,water 500 ml
642,water 1 ltr
643,water 2 ltr
644,water 2 ltr(Bislary & KF)
645,Gem sip juice 200 ml
646,Gem sip juice 500 ml
647,lehaberry NT life 200 ml
648,Paper boot Alphance 180 ml
649,Paper boot Alphance 200 ml
650,Paper boot Alphance 250 ml
651,Paper boot Majjige 200 ml
652,Paper boot Pomogranet & Nerale 250 ml
653,Paper boat Chiki 18 g
654,Paper boat Chiki 35 g
655,Coco gel 200ml
656,Nandini milk 200 ml
657,Ghee 200 ml
658,Ghee 0.5 kg
659,Ghee 1 kg
660,Nandini M.L 200 ml
661,Nandini Plain lassi 200 ml
662,Nandini cuckies ( 1 jar)
663,Nandini peda
664,Nandini dharvada peda
665,Amul milk 200 ml
666,cool caffe 200 ml
667,Premium milk 200 ml
668,Amul badami milk 200 ml
669,Amul lassi 200 ml
670,lassi 200 ml
671,Amul masthi
672,Rava Idli Mix 1Kg
673,Rava Idli Mix 500g
674,Rava Idli Mix 200g
675,Masala Idli Mix 500g
676,KOKOZAL
677,LECCHI (Thaiwan)
678,Vada mix 200g
679,Dosa mix 500g
680,Dosa mix 200g
681,Rice Idli Mix 500g
682,Rice Idli Mix 200g
683,Rava dosa mix 500g
684,Masala Upma mix 180g
685,Ragi dosa mix 500g
686,Ragi rava idli mix 500g
687,Oats idli mix 500g
688,Multi grain Dosa mix 500g
689,Regular poha 180g
690,Vermicelli upma 170g
691,Regular poha cuppa 80 g
692,Gulab jamun mix 200g
693,Gulab jamun mix 100g
694,Gulab jamun mix 40g
695,Gulab jamun mix 500g
696,Varmicelli (Payasa)
697,Badam drinks mix 500g
698,Badam drinks mix 200g
699,Badam drinks mix 100g
700,Badam drinks mix 12g
701,Sambar mix 200g
702,Sambar Powder Spicy 200g
703,Sambar Powder Spicy 100g
704,Sambar Powder Spicy 40g
705,Sambar Powder Spicy 20g
706,Bajji and Bonda mix 200g
707,Gobi manchurian 300g
708,Rasagulla portion 120g
709,Rasagulla portion 500g(tin)
710,Gulab Jamun (Portion) 100g
711,Gulab Jamun (Portion) 500g(tin)
712,Badam Drink 180L
713,Chilli Powder 200g
714,Chilli Powder 100g
715,Chilli Powder 50g
716,Turmeric Powder 200g
717,Turmeric Powder 100g
718,Turmeric Powder 50g
719,Corinder powder 200g
720,Corinder powder 100g
721,Corinder powder 50g
722,Jeera Powder 50g
723,Jeera Powder 15g
724,Papper powder 50g
725,Papper powder 10g
726,TN. Sambar powder 100g
727,Spice curry Powder 50g
728,Puligare Paste 200g
729,Vermicelli (Sayam) 900g
730,Vermicelli (Sayam) 400g
731,Vermicelli (Sayam) 165g
732,Roost Vermicelli 430g
733,Puliyogare Powder 200g
734,Puliyogare Powder 100g
735,Puliyogare Powder 35g
736,Vangi bath Powder 200g
737,Vangi bath Powder 100g
738,Vangi bath Powder 20g
739,Spiced Chutney Powder 30g
740,Spiced Chutney Powder 100g
741,Spiced Chutney Powder 200g
742,Rasam Powder 200g
743,Rasam Powder 100g
744,Rasam Powder 20g
745,Bisibelebath Masala 200g
746,Bisibelebath Masala 100g
747,Bisibelebath Masala 20g
748,Palao Masala 10g
749,TN. Biriyani Masala 15g
750,Garam Masala 50g
751,Garam Masala 10g
752,Chat Masala 100g
753,Mango Thokku Pickle 300g
754,Mango Thokku Pickle 500g
755,Lime Pickle 300g
756,Lime Pickle 500g
757,Mango Sliced Pickle 300g
758,Mango Thokku Pickle 300g
759,Tomatto Pickle 300g
760,Erdicks pickles 300g
761,lime/ mixed pickle 200g
762,Mango sliced Pickle 200g
763,Mango/Lime/Tomato pickle 12g
764,Mango/Lime/Tomato pickle 60g
765,Snackupallu 30g - 35g
766,Snackupallu 40g
767,Snackupallu 180g
768,Snackupallu 90g
769,NEWZELAND QUSE
770,CHUTNEY POWDERS 200G
771,KADAK ROTTI 300G
772,COCONUT CHETNEY POWDER
773,KARDONT 250G
774,lADAGI LADU 250G
775,BELGAVMKUNDA 250G
776,ANTINA HUNDE 250G
777,THAKUR PEDA 250G
778,PICKLE LIME
779,Parsumon (Japan mango)
779,Parsumon (Japan mango)
780,kesar gedde
781,Painaple kerala
782,beet root ooty
783,carrate delhi
784,AUSTRALIA CHAKKOTHA
785,POME GRANATE JAM 180 g
786,WINNER 400 Grms
787,CREAM 12 g BOX
788,CREAM BIG BOX
789,CREAM 7Gram Jar
790,MELTO BIG
791,CRANCHAS
792,KRANCHOS BIG BOX
793,DARKA TAAN
794,DAIRY DREAM BOX
795,MEGHA BYTE BOX
796,TREAT
797,TURBO BOX
798,KRUST BOX
799,Campco Bar BOX
800,ECLAIR JUMB JAR (B) BOX
801,EKLOR JUMBO ZAR (M) BOX
802,ECLAIR (ES) BOX
803,ES STREBURY
804,GARLIC CLEANED BOX
805,Badami drink 180ml
806,Chocolate drink 180ml
807,LAYS & CHIPS 50 GRAMS
808,BISCUITS AND CAKES 100GRAMS
809,JUICE & AMUL COOL 0.500
810,Egg Fruits
811,BANANA (Black)
812,GRB GHEE RS.5/-
813,GRB GHEE RS.10/-
814,GRB GHEE RS.20/-
815,GRB GHEE 50ml SP
816,GRB GHEE 50ml ARP Pjar
817,GRB GHEE 100ml sp
818,GRB GHEE100ml ARP Pjar
819,GRB GHEE 200ml sp
820,GRB GHEE 200ml sp
821,GRB GHEE 500ml sp
822,GRB GHEE 500ml pp
823,GRB GHEE 500ml ARP Pjar
824,GRB GHEE 1 ltr pjar
825,GRB GHEE 1 ltr tin
826,GRB GHEE 1 ltr pp
827,GRB GHEE 2 ltr tin
828,GRB GHEE 5 ltr tin
829,GRB GHEE 15 ltr tin
830,YELLU BELLA MIX 250 grm
831,Grapes jumbo sharad
833,Egg (Nati)
834,Thadnikai
835,APPLE TARKI / IRAN
836,MANGO BADAMI BOX
837,BANANA (P) RAIF
838,MANGO SENDARA KAAI
839,MANGO BYGANPALLI KAAI
840,MANGO MALAGOA KAAI
841,MANGO MALLIKA KAAI
842,MANGO THOTAPURI KAAI
843,MANGO KALAPADU KAAI
844,MANGO NEELAM KAAI
845,MANGO DASHIRI KAAI
846,MANGA LANGADA KAAI
847,MANGA KESAR KAAI
848,MANGO AMARPALLI KAAI
849,Tin Juice 250 ML
850,Tender coconut Big KAAI
851,MANGO SAKKEREGUTTI KAAI
852,lehaberry NT life 1 Liter
853,UMADI KARELA PICKLE 300G
854,UMADI MAGNI BER PICKLE 300G
855,UMADI GARLIC PICKLE 300G
856,UMADI TOMATO PICKLE 300G
857,UMADI DRY FRUIT PICKLE 300G
858,UMADI GUNGURA PICKLE 300G
859,UMADI SWEET LIME PICKLE 300G
860,UMADI MANGO PICKLE 300G
861,UMADI THECHA 300G
862,UMADI TAMRIND PICKLE 300G
863,UMADI TAMRIND PICKLE 100G
864,UMADI THECHA 100G
865,UMADI PLAIN PAPAD 100G
866,UMADI MASALA PAPAD 200G
867,UMADI MASALA CHILLY FRY 100G
868,UMADI SHENGA HOLIGE 5 PC
869,MADHUR JONY BELLA 1Kg
870,KOLAPUR ORGANIC BELLA 1Kg
871,Beans Horikart Oty
872,AMUL CAFE 200ml
873,NUTRI LIFE 1ltr 100%
874,Amul Royal Elaichi
875,Amul Royal Elaichi
876,ROSE ONION
877,Mango Kesar
878,OTY CARRAT 1ST QUALITY
879,Gooday buscuits 50g
880,Gooday buscuits 75g
881,Gooday buscuits 100g
882,Gooday buscuits 120g
883,marigold biscuits 130g
884,layes 42g
885,layes 50g
886,layes 52g
887,layes 100g
888,paper boat coconut water 200ml
889,ROW MANGO KESAR
890,juice amul 160 ml
891,juice amul 250ml
892,juice amul 400 ml
893,juice amul 600 ml
894,BANANA PACHABALE
895,BANANA YELLAKKI
896,BANAN CHANDRA
897,BANAN NENDEA
898,BANANA RASABLE
899,PERIKULAM ROW MANGO
900,miland honey multy flora 1 kg
901,miland honey multy flora 500 g
902,miland honey multy flora 250 g
903,miland honey multy flora 125 g
904,miland honey dry fruits 350g
905,miland honey leechy 250 g
906,miland honey jamoon 250g
907,miland honey forest 250 g
908,miland honey kashmiri 250 g
909,Rambostien
910,Pomegranate Drink 200 ml
911,Pomegranate Juice 200 ml
912,Pomegranate Sugar free 200 ml
913,Pomegranate Squesh 500 ml
914,Walnet 100 gram packet
915,Pom Delight Nata D Coco Pudding 100gram
916,Pom Delight Pudding 100
917,POMEGRANTE M
918,HEGADE PICKEL 300Grams
919,HEGADE PICKEL sp 300Grams
920,hunasehannu paste
921,ROTO CLOTH BAG
922,Brazil
923,BRAZIL SCOUT
924,RED JUKUNI
925,LAKSHMANA PALA
926,AVAREKARI (Hunasur)
927,chilli powder
928,Dhanya powder
929,sompa powder
930,sompa powder
931,Turmeric powder
932,chilli powder
933,gulab jamoon
934,jamoun
935,Rave idli rave dosa
936,jollada roti
937,Saancup
938,coconut chutney powder
939,Bisibele bath powder
940,mysorepack 250gm
941,mysorepack 100gm
942,mysorepack 25gm
943,nandini pedda 100gm
944,nandini pedda 25gm
945,nandini butter 500gm
946,nandini butter 200gm
947,puneer 1000gm
948,puneer 500gm
949,puneer 200gm
950,good life milk 200ml
951,good life milk 500ml
952,good life milk slim 500ml
953,Fruity 200 g
954,Enriched sweet 400g
955,sandwitch supreme 400g
956,Hi fibre brown 400g
957,100% whole wheat bread
958,Enriched sweet bun 200g(5*1)
959,Wow pav 210g
960,premium sweet bread rusk 200g
961,choco sweet fills 50g
962,Muffins-chocolate 180g
963,Nutri chais 100 gram
964,Nutri chais Ragi 150 gram
965,Mari light ots 100 gram
966,Nuti chais B 100 gram
967,Maza 600 gram
968,Coco light 250 ml
969,Kusuri girige
970,cut fruit donne
971,paper cover
972,Grapes jumbo sharad Box
973,mushroom protein papad 50gm
974,mushroom protein papad 100gm
975,Mazza 1.5 Liters
976,red bull 250ml
977,milk plus 350 gm
978,tea rusk 150gm
979,multi grains 450 gm
980,Garlic New
981,sun feast biscuit 40 mg
982,Mango Ginger
983,Lecchi Thailand
984,Chow Chow (Oty)
985,KO KO KOLA 250 ML
986,Beans (Nati)
987,Milk chocolate
988,White chocolate
989,Crackle chocolate
990,Fruit & nuts chocolate
991,Chakke (50 g)
992,Chakke (100 g)
993,Cardamom (20 g)
994,Cardamom (50 g)
995,Cardamom (100 g)
996,Jaay kai (50 g)
997,Ja patre (10 g)
998,Lavanga (50 g)
999,Lavanga (100 g)
1000,Black pepper (50 g)
1001,Black pepper (100 g)
1002,White pepper (50 g)
1003,Red chilli powder (100 g)
1004,Red chilli powder (200 g)
1005,Termaric powder (100 g)
1006,Termaric powder (250 g)
